Taxa, voucher information and character sampling. + or Genbank number indicate sampling; - indicates no sampling; Genbank information not presented are novel and will be included pending acceptance;;;;;;
Taxon and voucher info;Infrageneric;morphology;trnlf;trndt;matk;its;;
Mimosa foliolosa peregrina Siniscalchi CM 352;ser. Pachycarpae;+;-;MT459535;+;+;;
Mimosa foliolosa pubescens Bringel JB 945;ser. Pachycarpae;+;-;MT459536;-;+;;
Mimosa foliolosa pubescens Simon MF 733;ser. Pachycarpae;+;+;FJ982068;+;+;;
Mimosa foliolosa vernicosa Borges LM 403;ser. Pachycarpae;+;+;MT459537;+;-;;
Mimosa gemmulata Simon MF 690;ser. Leiocarpae;+;+;FJ982071;+;+;;
Mimosa goldmanii AMB 921;ser. Lactifluae;-;-;FJ982072;+;+;;
Mimosa gracilis invisiformis Simon MF 762;ser. Paucifoliatae;-;+;FJ982073;+;+;;
Mimosa granitica Borges LM 553;ser. Setosae;+;+;MT459609;+;+;;
Mimosa hebecarpa Santos-Silva J 957;ser. Leiocarpae;+;+;MT459551;+;+;;
Mimosa heringeri Borges LM 616;ser. Pachycarpae;+;+;MT459553;+;+;;
Mimosa heringeri Proenca CEB 2138;ser. Pachycarpae;+;+;FJ982082;+;+;;
Mimosa humivagans Simon MF 737;ser. Pachycarpae;+;+;FJ982089;+;+;;
Mimosa invisa invisa Simon MF 715;ser. Plurijugae;-;+;FJ982094;+;+;;
Mimosa josephina Hugues CE 2398;ser. Rojasianae;+;+;FJ982097;+;+;;
Mimosa kalunga Simon MF 866;ser. Pachycarpae;+;+;FJ982224;+;+;;
Mimosa laniceps Simon MF 773;ser. Pachycarpae;+;+;FJ982102;+;+;;
Mimosa latispinosa Sutherland JM 206;-;-;+;FJ982105;+;+;;
Mimosa leiocephala Borges LM 888;ser. Pachycarpae;+;+;MT459562;+;+;;
Mimosa lithoreas Borges LM 629;ser. Pachycarpae;+;+;MT459566;+;+;;
Mimosa longepedunculata Borges LM 915;ser. Pachycarpae;+;+;MT459567;+;+;;
Mimosa maguirei Borges LM 466;ser. Pachycarpae;+;+;MT459570;+;+;;
Mimosa manidea Simon MF 760;ser. Pachycarpae;+;+;FJ982116;+;+;;
Mimosa melanocarpa Simon MF 675;ser. Setosae;+;+;FJ982118;+;+;;
Mimosa menabeensis menabeensis Southerland JM 209;-;-;-;FJ982119;-;+;;
Mimosa minarum Nascimento JG 550;ser. Cordistipulae;-;+;FJ982120;+;+;;
Mimosa montana montana Hugues CE 2225;ser. Andinae;-;-;FJ982125;-;-;;
Mimosa montana sandemanii Eastwood RJ 125;ser. Andinae;-;-;HM353099;-;+;;
Mimosa myriadenia punctulata Acevedo-Rodriguez P 7483;ser. Myriadeniae;-;+;FJ982127;+;+;;
Mimosa myrioglandulosa Simon MF 1944;ser. Pachycarpae;-;-;MT459575;-;-;;
Mimosa neonitens Borges LM 1027;ser. Setosae;+;+;MT459610;+;+;;
Mimosa nitens Queiroz R 1474;ser. Pachycarpae;+;+;MT459578;+;-;;
Mimosa occidentalis Simon MF 821;ser. Neptunioides;+;+;FJ982136;+;+;;
Mimosa oedoclada Borges LM 560;ser. Pachycarpae;+;+;MT459581;+;-;;
Mimosa oligosperma Borges LM 942;ser. Pachycarpae;+;+;MT459582;+;-;;
Mimosa oligosperma Simon MF 865;ser. Pachycarpae;+;+;FJ982137;-;+;;
Mimosa orbignyana Borges LM 787;ser. Setosae;+;+;MT459586;+;+;;
Mimosa orthacantha Barros JC SN;subser. Ramosissimae;-;-;FJ982140;-;+;;
Mimosa pachycarpoides Borges LM 839;ser. Pachycarpae;+;-;MT459587;-;-;;
Mimosa palmeri Simon MF 823;ser. Distachyae;-;-;FJ982142;-;+;;
Mimosa paludosa Borges LM 434;ser. Setosae;+;-;MT459611;+;-;;
Mimosa paludosa Simon MF 725;ser. Setosae;+;+;FJ982186;+;+;;
Mimosa pigra dehiscens Hugues CE 2414;ser. Habbasia;+;+;FJ982148;+;+;;
Mimosa pilulifera pseudoincana Simon MF 878;sect. Calothamnos;-;+;FJ982150;+;+;;
Mimosa piresii Ribeiro 1200;ser. Piresianae;+;+;MT459590;+;+;;
Mimosa polycarpa subandina Hugues CE 2462;subser. Polycarpae;-;+;FJ982154;+;+;;
Mimosa prorepens Borges LM 496;ser. Pachycarpae;+;+;MT459593;+;-;;
Mimosa prorepens Borges LM 504;ser. Pachycarpae;+;-;MT459594;+;-;;
Mimosa pseudofoliolosa Bringel JB 924;ser. Pachycarpae;+;+;MT459478;+;+;;
Mimosa pseudofoliolosa Bringel JB 942;ser. Pachycarpae;+;+;MT459479;+;+;;
Mimosa pseudosepiaria Simon MF 712;ser. Bimucronatae;-;+;FJ982161;+;+;;
Mimosa radula imbricata Simon MF 731;subser. Polycephalae;-;+;FJ982170;+;+;;
Mimosa regina Simon MF 759;ser. Pachycarpae;+;+;FJ982173;+;+;;
Mimosa rheiptera Borges LM 914;ser. Pachycarpae;+;+;MT459599;+;+;;
Mimosa rhodostegia Fonseca ML 590;ser. Pachycarpae;+;-;MT459600;-;+;;
Mimosa riedelii Borges LM 837;ser. Setosae;+;-;MT459601;+;+;;
Mimosa sensitiva sensitiva Almeida D 4;ser. Mimosa -;-;;FJ982184;-;-;;
Mimosa setosa Borges LM 1008;ser. Setosae;+;-;MT459612;-;+;;
Mimosa setosissima Borges LM 960;ser. Pachycarpae;+;+;MT459614;+;+;;
Mimosa setosissima Simon MF 676;ser. Pachycarpae;+;+;FJ982188;+;+;;
Mimosa somnians lasiocarpa Simon MF 736;ser. Bipinnatae;+;+;FJ982194;+;-;;
Mimosa speciosissima Borges LM 575;ser. Pachycarpae;+;+;MT459623;+;+;;
Mimosa speciosissima Simon MF 753;ser. Pachycarpae;+;+;FJ982197;+;+;;
Mimosa splendida Simon MF 739;ser. Pachycarpae;+;+;FJ982199;+;+;;
Mimosa stylosa Borges LM 694;ser. Pachycarpae;+;+;MT459627;+;+;;
Mimosa stylosa Dutra VF 318;ser. Pachycarpae;+;+;FJ982203;+;+;;
Mimosa suberosa Borges LM 782;ser. Piresianae;+;+;MT459628;+;+;;
Mimosa tenuiflora Simon MF 698;ser. Leiocarpae;+;+;MT459630;+;+;;
Mimosa texana filipes Simon MF 845;ser. Boreales;-;-;FJ982207;-;+;;
Mimosa tocantina Borges LM 594;ser. Pachycarpae;+;+;-;+;+;;
Mimosa ulei grallator Simon MF 777;ser. Pachycarpae;+;+;FJ982213;+;+;;
Mimosa ulei ulei Borges LM 498;ser. Pachycarpae;+;+;MT459632;+;+;;
Mimosa ulei ulei Borges LM 541;ser. Pachycarpae;+;+;MT459633;+;-;;
Mimosa ulei ulei Borges LM 564;ser. Pachycarpae;+;+;MT459634;+;+;;
Mimosa urbana Borges LM 1025;ser. Setosae;+;+;MT459613;+;-;;
Mimosa urbana Simon MF 730;ser. Setosae;+;+;FJ982187;+;+;;
Mimosa ursina Simon MF 704;ser. Modestae;-;+;FJ982217;+;+;;
